route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,direction_name,wheelchair_accessible
216,Weekday,1292__12027_Timetable_-_2021-10,Ajax Station,1,12027_Timetable_-_2021-10,100.0.1046828842_Timetable_-_2021-10,Southbound,1
216,Weekday,1293__12029_Timetable_-_2021-10,Ajax Station,1,12029_Timetable_-_2021-10,100.0.1046828842_Timetable_-_2021-10,Southbound,1
224,Weekday,1298__12029_Timetable_-_2021-10,Taunton,0,12029_Timetable_-_2021-10,100.0.1190313705_Timetable_-_2021-10,Eastbound,1
224,Weekday,1299__12027_Timetable_-_2021-10,Taunton,0,12027_Timetable_-_2021-10,100.0.1190313705_Timetable_-_2021-10,Eastbound,1
900,Saturday,129__62907_Timetable_-_2021-10,B - Pickering Town Centre,1,62907_Timetable_-_2021-10,100.0.11522189610_Timetable_-_2021-10,Westbound,1
216,Weekday,1300__12029_Timetable_-_2021-10,Ajax Station,1,12029_Timetable_-_2021-10,100.0.1046828842_Timetable_-_2021-10,Southbound,1
224,Weekday,1303__12029_Timetable_-_2021-10,Taunton,0,12029_Timetable_-_2021-10,100.0.1190313705_Timetable_-_2021-10,Eastbound,1
900,Saturday,130__62905_Timetable_-_2021-10,Oshawa,0,62905_Timetable_-_2021-10,100.0.11903138911_Timetable_-_2021-10,Eastbound,1
216,Weekday,1310__12032_Timetable_-_2021-10,Taunton,0,12032_Timetable_-_2021-10,100.0.1046828841_Timetable_-_2021-10,Northbound,1
216,Weekday,1311__12032_Timetable_-_2021-10,Taunton,0,12032_Timetable_-_2021-10,100.0.1046828841_Timetable_-_2021-10,Northbound,1
224,Weekday,1312__12027_Timetable_-_2021-10,Taunton,0,12027_Timetable_-_2021-10,100.0.1190313705_Timetable_-_2021-10,Eastbound,1
216,Weekday,1313__12026_Timetable_-_2021-10,Taunton,0,12026_Timetable_-_2021-10,100.0.1046828841_Timetable_-_2021-10,Northbound,1
216,Weekday,1315__12026_Timetable_-_2021-10,Taunton,0,12026_Timetable_-_2021-10,100.0.1046828841_Timetable_-_2021-10,Northbound,1
216,Weekday,1317__12029_Timetable_-_2021-10,Ajax Station,1,12029_Timetable_-_2021-10,100.0.1046828842_Timetable_-_2021-10,Southbound,1
224,Weekday,1318__12029_Timetable_-_2021-10,Taunton,0,12029_Timetable_-_2021-10,100.0.1190313705_Timetable_-_2021-10,Eastbound,1
216,Weekday,1319__12027_Timetable_-_2021-10,Ajax Station,1,12027_Timetable_-_2021-10,100.0.1046828842_Timetable_-_2021-10,Southbound,1
900,Saturday,131__64908_Timetable_-_2021-10,Scarborough,1,64908_Timetable_-_2021-10,100.0.995817752_Timetable_-_2021-10,Westbound,1
224,Weekday,1320__12027_Timetable_-_2021-10,Taunton,0,12027_Timetable_-_2021-10,100.0.1190313705_Timetable_-_2021-10,Eastbound,1
216,Weekday,1322__12026_Timetable_-_2021-10,Taunton,0,12026_Timetable_-_2021-10,100.0.1046828841_Timetable_-_2021-10,Northbound,1
216,Weekday,1325__12032_Timetable_-_2021-10,Taunton,0,12032_Timetable_-_2021-10,100.0.1046828841_Timetable_-_2021-10,Northbound,1
