stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1675:1,1675,West Shore Northbound @ Cecylia,,43.818659,-79.10448599999998,,,0,,,1
167:1,167,Brock Street Northbound @ St Peter,,43.87108400000001,-78.93832,,,0,,,2
1685:1,1685,Oklahoma Westbound @ West Shore,,43.813826,-79.103099,,,0,,,1
1686:1,1686,Westbound @ 838 Oklahoma,,43.813337,-79.105305,,,0,,,1
1687:1,1687,Oklahoma Westbound @ Hillcrest,,43.813024,-79.10671499999998,,,0,,,1
1689:1,1689,Bayly Eastbound @ West Shore,,43.821218,-79.105446,,,0,,,1
168:1,168,Brock Street Northbound @ Burns,,43.872514,-78.938948,,,0,,,2
1690:1,1690,Eastbound @ 957 Bayly,,43.8227518,-79.1021915,,,0,,,1
1691:1,1691,Eastbound @ 1001 Bayly,,43.82372800000001,-79.100129,,,0,,,1
1692:1,1692,Bayly Eastbound @ Begley,,43.82626900000001,-79.094717,,,0,,,1
1693:1,1693,Bayly Eastbound @ St Martins,,43.827085,-79.092836,,,0,,,1
1694:1,1694,Bayly Eastbound @ Liverpool,,43.828787,-79.08666599999998,,,0,,,1
1695:1,1695,Bayly Eastbound @ Krosno,,43.829995,-79.08099799999998,,,0,,,2
169:1,169,Brock Street Northbound @ Trent,,43.873574,-78.93940499999998,,,0,,,2
1701:1,1701,Alyssum Eastbound @ Lublin,,43.824092,-79.075833,,,0,,,1
1702:1,1702,Lublin Southbound @ Balaton,,43.82249500000001,-79.074689,,,0,,,2
1703:1,1703,Parkham Eastbound @ Sandy Beach,,43.81946355,-79.072533,,,0,,,1
1705:1,1705,Southbound @ 675 Sandy Beach Road,,43.815212,-79.070712,,,0,,,2
1706:1,1706,Montgomery Park Eastbound @ OPG Pickering,,43.8143165023665,-79.06519369171588,,,0,,,2
1707:1,1707,Montgomery Park Eastbound @ Brock Road,,43.815436,-79.06028999999998,,,0,,,2
1709:1,1709,McKay Northbound @ Montgomery Park,,43.819181,-79.05741,,,0,,,2
170:1,170,Brock Street Northbound @ Gilbert,,43.87664417732835,-78.9408107746133,,,0,,,2
1710:1,1710,McKay Eastbound @ Squires Beach,,43.820715,-79.055269,,,0,,,2
1711:1,1711,Squires Beach Northbound @ McKay,,43.821982,-79.05191499999998,,,0,,,2
1712:1,1712,Northbound @ 1111 Squires Beach,,43.824595,-79.053029,,,0,,,2
1713:1,1713,Clements Westbound @ Squires Beach,,43.827022,-79.054705,,,0,,,2
1714:1,1714,Westbound @ 1850 Clements,,43.8266135,-79.05666669999998,,,0,,,2
1715:1,1715,Westbound @ 1768 Clements,,43.825697,-79.060627,,,0,,,2
1716:1,1716,Clements Westbound @ Brock Road,,43.825146,-79.063235,,,0,,,1
1719:1,1719,Brock Road Northbound @ Quigley,,43.82876000000001,-79.065535,,,0,,,2
171:1,171,Brock Street Northbound @ Dundas,,43.879703,-78.94210099999998,,,0,,,2
1720:1,1720,Brock Road Northbound @ Orangebrook,,43.830614,-79.066323,,,0,,,2
1724:1,1724,Brock Road Northbound @ Kingston,,43.848587,-79.07411399999998,,,0,,,1
1729:1,1729,Liverpool Northbound @ Pickering Parkway,,43.833073,-79.08913099999998,,,0,,,2
172:1,172,Brock Street Northbound @ John,,43.882531,-78.943093,,,0,,,2
17301,1730,Liverpool Northbound @ Kingston,,43.835391,-79.090151,,,0,,,1
1731:1,1731,Northbound @ 1851 Liverpool,,43.837643,-79.09107,,,0,,,1
1732:1,1732,Liverpool Northbound @ Glenanna,,43.83937800000001,-79.091944,,,0,,,1
